id,name,labels,properties
48,删除,基础术语,"{""description"": ""从数据结构中移除元素的操作。""}"
49,十字链表,具体技术,"{""description"": ""有向图的一种链式存储结构。""}"
50,单链表,概念细分,"{""description"": ""结点中只包含一个指针域的链表。""}"
51,单链表按值查找表结点,核心操作,"{""description"": ""在单链表中查找具有给定值的结点。""}"
52,单链表按序号查找结点值,核心操作,"{""description"": ""在单链表中获取第i个结点的数据。""}"
53,单链表的基本操作,概念细分,"{""description"": ""包括插入、删除、查找、建表等。""}"
54,单链表的定义,概念细分,"{""description"": ""线性表的链式存储结构，通过指针链接。""}"
55,压缩存储,具体技术,"{""description"": ""为多个值相同的元素只分配一个存储空间，对零元素不分配空间。""}"
56,双亲表示法,具体技术,"{""description"": ""利用数组存储树的结点，每个结点记录其父节点下标。""}"
57,双端队列,核心组件,"{""description"": ""允许在两端进行插入和删除操作的线性表。""}"
58,双链表,概念细分,"{""description"": ""结点中包含两个指针域（前驱和后继）的链表。""}"
59,双链表的删除,核心操作,"{""description"": ""修改前后结点的指针以移除双链表中的结点。""}"
60,双链表的基本操作,概念细分,"{""description"": ""包括插入、删除等，需同时维护prev和next指针。""}"
61,双链表的插入,核心操作,"{""description"": ""修改前后结点的指针以在双链表中加入新结点。""}"
62,可行性,基础术语,"{""description"": ""算法能够在有限时间内完成。""}"
63,后序线索二叉树,具体技术,"{""description"": ""利用空指针域存储后序遍历的前驱和后继信息的二叉树。""}"
64,后序遍历,具体技术,"{""description"": ""二叉树遍历方式：左子树 -> 右子树 -> 根。""}"
65,哈夫曼树,具体技术,"{""description"": ""带权路径长度最小的二叉树，也称最优二叉树。""}"
66,哈夫曼树的定义,概念细分,"{""description"": ""WPL（带权路径长度）最小的二叉树。""}"
67,哈夫曼树的构造,概念细分,"{""description"": ""通过特定算法（如Huffman算法）构建最优树。""}"
68,哈夫曼编码,概念细分,"{""description"": ""一种基于哈夫曼树的前缀编码，用于数据压缩。""}"
69,哈希存储,核心组件,"{""description"": ""散列存储，根据关键字直接计算出元素的存储地址。""}"
70,回路,基础术语,"{""description"": ""起点和终点相同的路径。""}"
71,图,核心类别,"{""description"": ""由顶点集合和边集合组成的数据结构，表示对象之间的多对多关系。""}"
72,图形结构,核心类别,"{""description"": ""数据元素之间存在多对多关系的结构。""}"
73,图的基本操作,概念细分,"{""description"": ""包括添加顶点/边、删除顶点/边、遍历等。""}"
74,图的存储,概念细分,"{""description"": ""图在计算机中的表示，如邻接矩阵、邻接表。""}"
75,图的定义,概念细分,"{""description"": ""V（顶点）和E（边）的集合。""}"
76,图的应用,概念细分,"{""description"": ""如最短路径、最小生成树、拓扑排序等。""}"
77,图的遍历,概念细分,"{""description"": ""访问图中所有顶点且仅访问一次的过程。""}"
78,块链存储,具体技术,"{""description"": ""串的链式存储，每个结点可以存储多个字符。""}"
79,基数排序,核心组件,"{""description"": ""不基于比较的排序，根据关键字的位进行分配和收集。""}"
80,堆,核心类别,"{""description"": ""一种特殊的完全二叉树，满足父节点的值总是大于（或小于）子节点。""}"
81,堆分配存储,具体技术,"{""description"": ""串的存储方式，动态分配堆内存。""}"
82,堆排序,核心组件,"{""description"": ""利用堆这种数据结构所设计的一种排序算法。""}"
83,处理冲突的方法,概念细分,"{""description"": ""解决哈希表中不同关键字映射到同一地址的方法。""}"
84,外部排序,核心类别,"{""description"": ""数据量过大，需借助外部存储（磁盘）进行的排序。""}"
85,多维数组,具体技术,"{""description"": ""维数大于1的数组，如矩阵。""}"
86,多路归并排序,核心组件,"{""description"": ""将多个有序表合并成一个有序表的排序方法。""}"
87,多重图,基础术语,"{""description"": ""允许两个顶点间存在多条边的图。""}"
88,头插法建立单链表,核心操作,"{""description"": ""从表头插入新结点构建单链表。""}"
89,子串,基础术语,"{""description"": ""主串中任意个连续字符组成的子序列。""}"
90,子图,基础术语,"{""description"": ""顶点集和边集分别是原图顶点集和边集子集的图。""}"
91,字符数组,核心组件,"{""description"": ""元素类型为字符的数组。""}"
92,存储结构,核心类别,"{""description"": ""数据的逻辑结构在计算机中的具体实现。""}"
93,孩子兄弟表示法,具体技术,"{""description"": ""树的二叉链表表示法，左孩子右兄弟。""}"
94,孩子表示法,具体技术,"{""description"": ""把每个结点的孩子结点排列起来，看成一个线性表。""}"
95,完全二叉树,概念细分,"{""description"": ""深度为k的树，前k-1层满，第k层节点集中在左侧。""}"
96,完全图,基础术语,"{""description"": ""任意两个顶点之间都有边的图。""}"
97,定长顺序存储,具体技术,"{""description"": ""串的存储方式，使用固定长度的数组。""}"
98,尾插法建立单链表,核心操作,"{""description"": ""从表尾插入新结点构建单链表。""}"
99,层次遍历,具体技术,"{""description"": ""按二叉树的层序（从上到下，从左到右）遍历。""}"
100,希尔排序,核心组件,"{""description"": ""缩小增量排序，一种改进的插入排序。""}"
101,平均查找长度,基础术语,"{""description"": ""ASL，查找过程中进行比较次数的平均值。""}"
102,平方取中法,具体技术,"{""description"": ""计算关键字平方后取中间几位作为哈希地址。""}"
103,平方探测法,具体技术,"{""description"": ""二次探测，冲突时加减平方数寻找下一个地址。""}"
104,平衡二叉树,核心组件,"{""description"": ""左右子树高度差不超过1的二叉排序树。""}"
105,平衡二叉树的定义,核心操作,"{""description"": ""即AVL树。""}"
106,平衡二叉树的插入,核心操作,"{""description"": ""插入后需通过旋转保持平衡。""}"
107,平衡二叉树的查找,核心操作,"{""description"": ""同BST查找，效率为O(log n)。""}"
108,并查集,具体技术,"{""description"": ""管理元素分组的数据结构，支持合并和查找。""}"
109,广义表,核心类别,"{""description"": ""线性表的推广，元素可以是原子或子表。""}"
110,广度优先遍历,具体技术,"{""description"": ""BFS，从起始点开始，由近及远访问图的顶点。""}"
111,开放地址法,具体技术,"{""description"": ""冲突时在表中寻找下一个空闲位置。""}"
112,强连通分量,基础术语,"{""description"": ""有向图中的极大强连通子图。""}"
113,强连通图,基础术语,"{""description"": ""有向图中任意两点间都双向连通。""}"
114,归并排序,核心组件,"{""description"": ""采用分治法，将已有序的子序列合并。""}"
115,循环单链表,核心组件,"{""description"": ""尾结点的指针指向头结点的单链表。""}"
116,循环双链表,核心组件,"{""description"": ""首尾相连的双链表。""}"
117,循环链表,概念细分,"{""description"": ""首尾相接的链表。""}"
118,循环队列,核心组件,"{""description"": ""把顺序队列臆造为一个环状的空间。""}"
119,快速排序,核心组件,"{""description"": ""基于分治法的高效排序算法，通过基准值将数组分为两部分。""}"
120,折半插入排序,核心组件,"{""description"": ""在插入排序中利用折半查找确定插入位置。""}"
121,折半查找,核心组件,"{""description"": ""二分查找。""}"
122,拉链法,具体技术,"{""description"": ""链地址法，冲突时将同义词存储在链表中。""}"
123,拓扑排序,具体技术,"{""description"": ""将有向无环图的顶点排成一个线性序列。""}"
124,指针数组,核心组件,"{""description"": ""元素为指针的数组。""}"
125,排序,基础术语,"{""description"": ""将一组数据按特定顺序重新排列的操作。""}"
126,插入,基础术语,"{""description"": ""数据结构与算法相关概念。""}"
127,插入排序,核心类别,"{""description"": ""数据结构与算法相关概念。""}"
128,散列函数,具体技术,"{""description"": ""将关键字映射到地址的函数。""}"
129,散列函数的构造方法,概念细分,"{""description"": ""如除留余数法、数字分析法等。""}"
130,散列结构,具体技术,"{""description"": ""哈希表结构。""}"
131,散列表,核心类别,"{""description"": ""通过哈希函数将键映射到表中位置的数据结构，支持快速查找。""}"
132,数值数组,核心组件,"{""description"": ""存储数值数据的数组。""}"
133,数字分析法,具体技术,"{""description"": ""选取关键字中分布均匀的若干位作为哈希地址。""}"
134,数据结构,知识领域,"{""description"": ""计算机存储、组织数据的方式，旨在提高数据访问和修改的效率。""}"
135,数组,核心类别,"{""description"": ""使用连续内存空间存储相同类型数据的数据结构。""}"
136,无向图,概念细分,"{""description"": ""边没有方向的图。""}"
137,无序树,基础术语,"{""description"": ""树中结点的各子树无次序之分。""}"
138,时间复杂度,具体技术,"{""description"": ""算法执行所需时间随问题规模增长的变化趋势。""}"
139,暴力匹配算法,具体技术,"{""description"": ""朴素的字符串匹配算法，逐个比较。""}"
140,更新,基础术语,"{""description"": ""修改数据结构中元素值的操作。""}"
141,最小生成树,具体技术,"{""description"": ""权值之和最小的生成树。""}"
142,最短路径,具体技术,"{""description"": ""图中两点间权值之和最小的路径。""}"
143,有向图,概念细分,"{""description"": ""边有方向的图。""}"
144,有向树,基础术语,"{""description"": ""只有一个根结点，其他结点都有且仅有一个入度的有向图。""}"
145,有序树,基础术语,"{""description"": ""树中结点的各子树有次序之分。""}"
146,有穷性,基础术语,"{""description"": ""算法必须在执行有穷步之后结束。""}"
147,权,基础术语,"{""description"": ""边上附带的数值，表示距离、费用等。""}"
148,查找,核心类别,"{""description"": ""在数据集合中寻找满足特定条件的数据元素的过程。""}"
149,查找的基本概念,概念细分,"{""description"": ""如主关键字、次关键字、查找长度等。""}"
150,查找表,基础术语,"{""description"": ""同一类型的数据元素（或记录）构成的集合。""}"
151,栈,核心类别,"{""description"": ""一种特殊的线性表，仅允许在表尾进行插入和删除操作（后进先出 LIFO）。""}"
152,栈的基本操作,概念细分,"{""description"": ""如Push（进栈）、Pop（出栈）、GetTop（取栈顶）。""}"
153,栈的定义,概念细分,"{""description"": ""限定仅在表尾进行插入和删除操作的线性表。""}"
154,树,核心类别,"{""description"": ""一种非线性的数据结构，由节点和边组成的层级结构。""}"
155,树形结构,核心类别,"{""description"": ""结点之间有分支、层次关系的结构。""}"
156,树的基本术语,概念细分,"{""description"": ""如度、深度、叶子、孩子、双亲等。""}"
157,树的基本概念,概念细分,"{""description"": ""树的定义及相关性质。""}"
158,树的定义,概念细分,"{""description"": ""n个结点的有限集，有且仅有一个根。""}"
159,树的度,基础术语,"{""description"": ""树内各结点的度的最大值。""}"
160,树的高度,基础术语,"{""description"": ""树中结点的最大层数。""}"
161,检索,基础术语,"{""description"": ""查找。""}"
162,模式匹配算法,概念细分,"{""description"": ""在主串中定位子串的算法。""}"
163,求线性表长,核心操作,"{""description"": ""计算线性表中元素的个数。""}"
164,深度优先遍历,具体技术,"{""description"": ""DFS，尽可能深地搜索图的分支。""}"
165,满二叉树,概念细分,"{""description"": ""所有分支结点都有左右子树，且叶子都在同一层。""}"
166,物理结构,核心类别,"{""description"": ""数据结构在计算机内存中的实际存储表示。""}"
167,生成树,基础术语,"{""description"": ""包含图中所有顶点的极小连通子图。""}"
168,生成深林,基础术语,"{""description"": ""非连通图的每个连通分量生成的生成树的集合。""}"
169,直接定址法,具体技术,"{""description"": ""线性函数 H(key)=a*key+b。""}"
170,直接插入排序,核心组件,"{""description"": ""将一条记录插入到已排好序的有序表中。""}"
171,确定性,基础术语,"{""description"": ""算法的每一步骤必须有确切的定义。""}"
172,稀疏图,基础术语,"{""description"": ""边数很少的图。""}"
173,稀疏矩阵,具体技术,"{""description"": ""非零元素占比较小的矩阵。""}"
174,稠密图,基础术语,"{""description"": ""边数很多的图。""}"
175,空间复杂度,具体技术,"{""description"": ""算法运行所需存储空间随问题规模增长的变化趋势。""}"
176,简单回路,基础术语,"{""description"": ""除起点和终点外，其余顶点不重复的回路。""}"
177,简单图,基础术语,"{""description"": ""不存在重复边和自环的图。""}"
178,简单路径,基础术语,"{""description"": ""顶点不重复出现的路径。""}"
179,简单选择排序,核心组件,"{""description"": ""每趟从待排序记录中选出最小的元素。""}"
180,算法,核心组件,"{""description"": ""解决特定问题求解步骤的描述。""}"
181,算法效率,概念细分,"{""description"": ""通常用时间复杂度和空间复杂度来度量。""}"
182,索引存储,核心组件,"{""description"": ""建立附加的索引表来标识结点的地址。""}"
183,线性探测法,具体技术,"{""description"": ""冲突时线性探测下一个位置。""}"
184,线性结构,核心类别,"{""description"": ""数据元素之间是一对一的关系。""}"
185,线性表,核心类别,"{""description"": ""零个或多个数据元素的有限序列。""}"
186,线性表按位查找,核心操作,"{""description"": ""GetElem，获取第i个元素。""}"
187,线性表按值查找,核心操作,"{""description"": ""LocateElem，查找值等于e的元素。""}"
188,线性表的基本操作,概念细分,"{""description"": ""InitList, DestroyList, ListInsert等。""}"
189,线性表的定义,概念细分,"{""description"": ""n个数据元素的有限序列。""}"
190,线索二叉树,概念细分,"{""description"": ""加上线索（前驱/后继指针）的二叉树。""}"
191,结构数组,核心组件,"{""description"": ""元素为结构体的数组。""}"
192,结点的度,基础术语,"{""description"": ""结点拥有的子树数（树）或关联边数（图）。""}"
193,结点的深度,基础术语,"{""description"": ""从根到该结点的层数。""}"
194,结点的高度,基础术语,"{""description"": ""从该结点到叶子的最长路径长度。""}"
195,网,基础术语,"{""description"": ""带权的图。""}"
196,距离,基础术语,"{""description"": ""两点间路径的长度（或权值和）。""}"
197,路径,基础术语,"{""description"": ""顶点序列，相邻顶点之间有边。""}"
198,路径长度,基础术语,"{""description"": ""路径上边的数目（或权值之和）。""}"
199,输入,基础术语,"{""description"": ""算法具有零个或多个输入。""}"
200,输出,基础术语,"{""description"": ""算法具有一个或多个输出。""}"
201,连通,基础术语,"{""description"": ""两个顶点之间有路径存在。""}"
202,连通分量,基础术语,"{""description"": ""无向图中的极大连通子图。""}"
203,连通图,基础术语,"{""description"": ""无向图中任意两点都是连通的。""}"
204,选择排序,核心类别,"{""description"": ""每一趟从待排序的数据元素中选出最小（或最大）的一个元素。""}"
205,逻辑结构,核心类别,"{""description"": ""数据元素之间的逻辑关系，独立于计算机的存储方式。""}"
206,邻接多重表,具体技术,"{""description"": ""无向图的一种链式存储结构。""}"
207,邻接矩阵法,具体技术,"{""description"": ""用二维数组存储图的边。""}"
208,邻接表法,具体技术,"{""description"": ""用数组+链表存储图的边。""}"
209,链式存储,核心组件,"{""description"": ""用一组任意的存储单元存储数据元素。""}"
210,链式队列,核心组件,"{""description"": ""用链表实现的队列。""}"
211,链式队列初始化,核心操作,"{""description"": ""构造一个空的链队列。""}"
212,链式队列判空,核心操作,"{""description"": ""判断链队列是否为空。""}"
213,链式队列的基本操作,概念细分,"{""description"": ""入队、出队等。""}"
214,链栈,核心组件,"{""description"": ""用链表实现的栈。""}"
215,链表,核心类别,"{""description"": ""使用节点链接存储数据的数据结构，内存不一定连续。""}"
216,队,概念细分,"{""description"": ""队列的简称。""}"
217,队列,核心类别,"{""description"": ""一种特殊的线性表，允许在表头删除、表尾插入（先进先出 FIFO）。""}"
218,队列的基本概念,概念细分,"{""description"": ""先进先出（FIFO）。""}"
219,队头,基础术语,"{""description"": ""允许删除的一端。""}"
220,队尾,基础术语,"{""description"": ""允许插入的一端。""}"
221,除留余数法,具体技术,"{""description"": ""H(key) = key % p。""}"
222,集合,核心组件,"{""description"": ""元素之间除了“同属于一个集合”外无其他关系。""}"
223,静态查找表,基础术语,"{""description"": ""只做查找操作的查找表。""}"
224,静态链表,概念细分,"{""description"": ""用数组描述的链表。""}"
225,非线性结构,核心类别,"{""description"": ""数据元素之间存在一对多或多对多关系。""}"
226,顶点的度,基础术语,"{""description"": ""关联于该顶点的边的数目。""}"
227,顺序存储,核心组件,"{""description"": ""用一组地址连续的存储单元依次存储数据元素。""}"
228,顺序查找,核心组件,"{""description"": ""从表的一端开始逐个比较。""}"
229,顺序栈,核心组件,"{""description"": ""用顺序存储结构实现的栈。""}"
230,顺序栈的基本运算,概念细分,"{""description"": ""InitStack, Push, Pop等。""}"
231,顺序栈的实现,概念细分,"{""description"": ""通常用数组实现。""}"
232,顺序表,概念细分,"{""description"": ""一种存储数据的结构。""}"
233,顺序表的删除,核心操作,"{""description"": ""移除顺序表中指定位置的元素。""}"
234,顺序表的基本操作,概念细分,"{""description"": ""插入、删除、查找。""}"
235,顺序表的定义,概念细分,"{""description"": ""线性表的顺序存储结构。""}"
236,顺序表的插入,核心操作,"{""description"": ""在顺序表指定位置插入元素。""}"
